,0,1,2,3,4,5,6,7,8,9
0,-17.942122,34.030674,-3.2709289,-40.441624,-27.623999,-19.935854,36.463642,-3.3890164,-41.636906,-28.498138
1,-15.465854,7.94716,-3.1663132,-7.981974,-18.66698,-8.916831,3.2666836,-1.5348259,-6.1163077,-13.301281
2,-52.36686,91.59142,-18.236597,-105.57916,-84.591194,-51.13592,92.26933,-18.67402,-101.82725,-79.36785
3,-3.922738,5.2427073,-1.2180995,-10.27794,-10.17607,-2.9812076,5.4710393,-2.0950062,-9.102092,-8.707267
4,-7.987756,12.738523,-1.9580948,-13.972614,-11.179942,-7.378257,13.078909,-1.5929238,-14.342692,-10.234965
5,-5.3233967,23.178303,-3.5627832,-24.477947,-10.185823,-5.062612,23.29687,-3.4269361,-23.866638,-9.059318
6,-17.04086,16.725405,-3.3514652,-16.591593,-20.258512,-17.21727,17.03935,-4.023765,-15.981381,-20.183065
7,-6.1396904,7.96206,-2.0957031,-13.408873,-13.682206,-8.088351,8.766124,-2.3105214,-13.940646,-15.573396
8,-8.81492,7.800184,-1.9545829,-8.330929,-11.300249,-2.2828658,5.644711,-0.9710985,-6.270856,-3.8801093
9,-8.172766,18.618767,-2.2695105,-23.782253,-15.6057625,-7.7484064,18.992386,-2.1093304,-24.102064,-14.967415
10,-101.51538,120.72292,-49.89947,-35.01289,-65.70482,-105.681206,126.06061,-52.215218,-36.482933,-68.31875
11,-4.1085815,6.9097943,-1.1453964,-10.644583,-8.988766,-3.3284302,6.217404,-1.0974693,-10.551839,-8.760334
12,-5.491543,14.52612,-2.205188,-19.24822,-12.418832,-5.276901,15.777425,-2.416314,-20.117605,-12.033395
13,-10.76976,5.32058,-2.2162895,-7.2261815,-14.891651,-4.614746,5.356214,-1.6972238,-7.8430552,-8.798811
14,-36.948055,25.276796,-7.4594,-10.76149,-29.892149,-37.270798,26.016642,-7.3438387,-11.272924,-29.87092
15,-4.3384285,3.461651,-0.9434134,-5.3833885,-7.203579,-3.9489493,2.9142613,-0.6353407,-5.6467338,-7.3167624
16,-5.933053,8.835767,-2.0789764,-11.442268,-10.618531,-6.1666536,8.6532545,-1.9918393,-11.184273,-10.68951
17,-3.199628,6.248094,-1.6144862,-9.087656,-7.653677,-4.9936404,7.051836,-1.7734298,-8.857712,-8.572947
18,-7.036357,7.318415,-1.3396108,-6.9666557,-8.024208,-6.9754004,7.417582,-1.1971915,-7.3538814,-8.1088915
19,-15.1483965,8.32634,-3.3086653,-11.340969,-21.471691,-14.370158,7.957441,-3.464726,-11.14587,-21.023314
20,-115.57461,101.65791,-42.638546,-25.413708,-81.96895,-123.15797,109.58342,-48.351875,-26.642366,-88.56879
21,-68.057724,53.572594,-14.527902,-51.95443,-80.96746,-66.230156,50.52808,-13.7506695,-49.571243,-79.023994
22,-19.660805,20.862556,-5.856164,-15.59198,-20.246391,-18.708782,20.577435,-5.9414167,-15.474767,-19.547533
23,-0.77332807,3.818039,-1.0113559,-6.615942,-4.5825872,-1.0597109,3.0722737,-1.1271493,-5.8786287,-4.993215
24,-12.743253,8.362271,-1.6417109,-4.106373,-10.129065,-13.081927,9.384129,-1.7648442,-4.098451,-9.561095
25,-5.892192,5.235577,-1.3371042,-10.612125,-12.6058445,-6.4129667,5.657368,-1.266508,-11.199005,-13.221112
26,-56.33031,45.316612,-15.672928,-23.364815,-50.05144,-58.21819,47.823936,-17.969309,-22.86495,-51.22851
27,-4.4233503,5.161103,-1.2710276,-8.949484,-9.482759,-5.022097,5.939734,-1.4767807,-9.458076,-10.017219
28,-71.84644,72.522606,-23.912868,-20.356504,-43.59321,-76.43471,77.65295,-26.998796,-20.439627,-46.22018
29,-12.854936,15.346826,-2.5414052,-17.379484,-17.428999,-13.467821,15.526329,-2.6280057,-17.11839,-17.687887
30,0.86923337,1.8455468,-0.3646453,-2.6996326,-0.34949756,2.4172838,1.9343783,-0.38751462,-2.8392155,1.1249318
31,-34.651142,39.25963,-11.088449,-35.920284,-42.400246,-34.90276,40.7902,-13.256454,-35.399918,-42.768932
