name1,CONFIGURATIONS,DISPERISION,ELECTRO,EXCHANGE,INDUCTION,TOTAL
ZEBJOH01.RFD.,ZEBJOH01.RFD.cif_436,-39.81478229,-34.08719122,43.29637015,-7.31734328,-37.92294664
ZEDYOZ.RFD.,ZEDYOZ.RFD.cif_477,-16.30506384,-43.68210773,25.82859007,-7.94774714,-42.10632864
ZEKPEM.RFD.,ZEKPEM.RFD.cif_199,-9.95529763,-32.21784399,27.1384257,-6.98468897,-22.01940489
ZEKXOF.RFD.,ZEKXOF.RFD.cif_233,-13.43563491,-56.81882336,35.94812344,-13.3718524,-47.67818723
ZEMHUY.RFD.,ZEMHUY.RFD.cif_326,-32.69473798,-124.1464909,117.7166098,-34.21753524,-73.34215431
ZEMJEK.RFD.,ZEMJEK.RFD.cif_972,-27.89672489,-135.4923711,144.6553687,-68.74945091,-87.48317812
ZEMMAI.RFD.,ZEMMAI.RFD.cif_826,-12.56576703,-36.2502655,15.92479017,-6.88872028,-39.77996264
ZEQCEG.RFD.,ZEQCEG.RFD.cif_387,-56.08698523,-15.19817587,43.21676788,-3.93241083,-32.00080405
ZESMES.RFD.,ZESMES.RFD.cif_306,-18.87005362,-100.2237444,85.87427584,-29.19157504,-62.41109726
ZESMIW.RFD.,ZESMIW.RFD.cif_967,-15.04061638,-69.22626385,58.38279951,-21.91325618,-47.7973369
ZEVPOH.RFD.,ZEVPOH.RFD.cif_1671,-33.25339272,-12.57367559,34.11791351,-3.28983691,-14.99899171
ZEXKAO.RFD.,ZEXKAO.RFD.cif_377,-25.47253703,-115.5944729,92.01364496,-45.00769555,-94.06106056
ZEXTIF.RFD.,ZEXTIF.RFD.cif_437,-15.63298986,-42.50891668,37.4408062,-13.91014427,-34.61124461
ZEXYOQ.RFD.,ZEXYOQ.RFD.cif_553,-11.85407327,-51.96676053,56.99846897,-18.23261385,-25.05497868
ZEZGOC.RFD.,ZEZGOC.RFD.cif_527,-39.49346705,-82.15245824,50.9830678,-18.72612183,-89.38897932
ZEZHET.RFD.,ZEZHET.RFD.cif_412,-40.44245275,-26.98808571,42.78585663,-10.23248364,-34.87716547
ZICNOS.RFD.,ZICNOS.RFD.cif_361,-21.33979983,-42.16424919,29.05849871,-9.07369943,-43.51924974
ZICPAF.RFD.,ZICPAF.RFD.cif_927,-8.22419118,-36.60981135,33.61400452,-7.97723129,-19.1972293
ZIFKEG.RFD.,ZIFKEG.RFD.cif_611,-13.44016927,-62.60066598,58.29411623,-17.31343086,-35.06014988
ZILCOO.RFD.,ZILCOO.RFD.cif_229,-47.33255018,-65.04933958,60.08051252,-19.73501006,-72.0363873
ZILDIL.RFD.,ZILDIL.RFD.cif_236,-46.29287278,-22.39997509,31.84536303,-4.14387847,-40.99136331
ZIQDUA.RFD.,ZIQDUA.RFD.cif_253,-25.22305986,-91.71411151,102.152469,-35.51164917,-50.29635154
ZIVKUK.RFD.,ZIVKUK.RFD.cif_722,-5.51330101,-25.06241722,13.37027965,-3.54924688,-20.75468546
ZIZDIX.RFD.,ZIZDIX.RFD.cif_1576,-11.25373189,-38.19598031,28.92316511,-8.4685481,-28.99509519
ZIZRUX.RFD.,ZIZRUX.RFD.cif_766,-17.9101608,-54.30314582,43.78934446,-14.10069811,-42.52466027
ZOBCOK.RFD.,ZOBCOK.RFD.cif_474,-19.10880989,-73.59190288,63.40359438,-23.00206212,-52.29918051
ZOBHAZ.RFD.,ZOBHAZ.RFD.cif_1136,-13.86729828,-50.55408653,49.48376497,-17.21600856,-32.1536284
ZOCSAN.RFD.,ZOCSAN.RFD.cif_561,-13.46450546,-52.78401818,50.49545915,-11.18094478,-26.93400927
ZODVEX.RFD.,ZODVEX.RFD.cif_426,-11.65455619,-66.24252399,77.61712923,-19.03643038,-19.31638133
ZOJZAD.RFD.,ZOJZAD.RFD.cif_323,-20.58955719,-101.302507,89.69131911,-31.00380712,-63.2045522
ZOLFOZ.RFD.,ZOLFOZ.RFD.cif_631,-15.55762012,-71.51420707,75.12824694,-23.65132481,-35.59490506
ZOYBEW.RFD.,ZOYBEW.RFD.cif_379,-49.07315714,-22.4275643,37.54142054,-5.06880013,-39.02810103
ZUBNOB.RFD.,ZUBNOB.RFD.cif_426,-20.93163456,-72.9739162,72.74388998,-22.99587718,-44.15753796
ZUBNUH.RFD.,ZUBNUH.RFD.cif_155,-20.82856532,-77.97234159,73.31804247,-23.84475731,-49.32762175
ZUHFIT.RFD.,ZUHFIT.RFD.cif_291,-7.74546707,-21.26126588,19.67024609,-5.18057114,-14.517058
ZUKXAE.RFD.,ZUKXAE.RFD.cif_266,-34.71303654,-158.0315674,168.4259812,-85.40955937,-109.7281821
ZUKXIM.RFD.,ZUKXIM.RFD.cif_105,-12.28670278,-41.71666719,34.21201354,-7.5529256,-27.34428203
ZULTAE.RFD.,ZULTAE.RFD.cif_543,-7.93574958,-43.13783022,35.7953096,-11.40604635,-26.68431655
ZUYLAI.RFD.,ZUYLAI.RFD.cif_651,-15.44349868,-45.99901928,36.17794266,-10.06658721,-35.33116251
