CONFIGURATIONS,ELECTRO,EXCHANGE,INDUCTION,DISPERISION,TOTAL
AGAMUS.RFD.cif_601.xyz,-24.80935854,35.40518289,-7.51953922,-39.79039385,-36.71410872
AGAMUS.RFD.cif_621.xyz,1.49180936,5.20071182,-1.03241031,-5.31778120,0.34232967
AGEROT.RFD.cif_156.xyz,-6.87838110,2.25755452,-0.78536936,-4.54253795,-9.94873389
AGEROT.RFD.cif_186.xyz,-62.34219524,50.02055278,-14.27351844,-16.61705742,-43.21221832
AGEROT.RFD.cif_214.xyz,-76.27953700,66.97901196,-22.86616391,-16.08614690,-48.25283585
AGEROT.RFD.cif_219.xyz,5.40191660,2.53517656,-0.64182646,-4.09381785,3.20144884
AGEROT.RFD.cif_232.xyz,-0.24757798,3.32985701,-1.06070269,-4.37686978,-2.35529343
AGEROT.RFD.cif_238.xyz,1.18190232,21.21766678,-4.65894581,-25.23065392,-7.49003064
AGEROT.RFD.cif_282.xyz,-4.52848610,1.46259645,-0.60599477,-2.25221229,-5.92409671
AGEROT.RFD.cif_285.xyz,-11.24227038,21.21077115,-4.94075295,-22.27342404,-17.24567623
AGEROT.RFD.cif_289.xyz,-7.64321890,1.54444977,-1.14074257,-3.96247243,-11.20198412
AGEROT.RFD.cif_313.xyz,-0.79470969,4.38762177,-1.14686920,-4.94209145,-2.49604857
AGEROT.RFD.cif_318.xyz,-6.95975598,3.40840394,-1.11157211,-3.98975226,-8.65267640
AGEROT.RFD.cif_337.xyz,-59.38231177,45.98530045,-13.37648285,-15.91873340,-42.69222756
AGEROT.RFD.cif_355.xyz,-6.87838043,2.25755452,-0.78537078,-4.54253795,-9.94873464
AGIGEE.RFD.cif_287.xyz,-9.44487907,8.58560080,-1.91401752,-9.30245491,-12.07575071
AGIGEE.RFD.cif_313.xyz,1.44160002,0.66572411,-0.30597537,-2.49754302,-0.69619427
AGIGEE.RFD.cif_345.xyz,-6.31236454,5.26396125,-1.62236718,-5.27525333,-7.94602381
AGIGEE.RFD.cif_348.xyz,-22.27370163,4.64903459,-2.92693918,-8.32357565,-28.87518187
